Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Diego Rossi,76,LW,gold,Uruguay,82,74,67,77,29,59,https://wefut.com/player/22/17198/diego-rossi
Caner Erkin,76,LB,gold,Turkey,72,72,77,76,68,74,https://wefut.com/player/22/17196/caner-erkin
Diego Rossi,76,LW,gold,Uruguay,82,74,67,77,29,59,https://wefut.com/player/22/1631/diego-rossi
Sebastián Palacios,76,RW,gold,Argentina,91,71,69,79,44,68,https://wefut.com/player/22/1630/sebastian-palacios
Caner Erkin,76,LB,gold,Turkey,72,72,77,76,68,74,https://wefut.com/player/22/1629/caner-erkin
Gonçalo Inácio,76,CB,gold,Portugal,79,30,60,59,77,74,https://wefut.com/player/22/1628/goncalo-inacio
Marcus Edwards,76,RW,gold,England,85,66,68,75,69,69,https://wefut.com/player/22/1627/matias-vina
Matheus Nunes,76,CM,gold,Brazil,73,70,70,77,67,73,https://wefut.com/player/22/1626/matheus-nunes
Darwin Núñez,76,ST,gold,Uruguay,84,75,69,73,40,84,https://wefut.com/player/22/1625/darwin-nunez
Gabriel Martinelli,76,LM,gold,Brazil,87,69,67,78,44,67,https://wefut.com/player/22/1622/gabriel-martinelli
Tete,76,RM,gold,Brazil,83,70,72,79,39,59,https://wefut.com/player/22/1619/tete
Manor Solomon,76,RM,gold,Israel,81,70,72,78,37,60,https://wefut.com/player/22/1618/manor-solomon
Bryan Gil,76,LM,gold,Spain,78,67,72,81,26,35,https://wefut.com/player/22/1617/bryan-gil
Giorgios Masouras,76,RM,gold,Greece,83,75,72,74,51,69,https://wefut.com/player/22/1616/giorgios-masouras
Adam Hložek,76,ST,gold,Czech Republic,78,75,71,76,31,78,https://wefut.com/player/22/1615/adam-hlozek
Arthur Cabral,76,ST,gold,Brazil,72,76,63,73,31,78,https://wefut.com/player/22/1614/arthur-cabral
Jean-Clair Todibo,76,CB,gold,France,76,44,61,64,77,76,https://wefut.com/player/22/1613/jean-clair-todibo
Bruno Costa,76,CM,gold,Portugal,67,73,75,75,64,63,https://wefut.com/player/22/1612/bruno-costa
Mohammed Salisu,76,CB,gold,Ghana,67,36,51,55,76,79,https://wefut.com/player/22/1611/mohammed-salisu
Trincão,76,RW,gold,Portugal,79,71,70,81,37,69,https://wefut.com/player/22/1610/trincao
Nayef Aguerd,76,CB,gold,Morocco,60,45,60,61,76,77,https://wefut.com/player/22/1609/nayef-aguerd
Gonzalo Villar,76,CM,gold,Spain,59,57,75,78,71,72,https://wefut.com/player/22/1608/gonzalo-villar
Vitaliy Mykolenko,76,LB,gold,Ukraine,78,44,62,61,73,63,https://wefut.com/player/22/1607/vitaliy-mykolenko
Mykola Shaparenko,76,CM,gold,Ukraine,77,71,76,78,64,58,https://wefut.com/player/22/1606/mykola-shaparenko
Vitaliy Buyalskyi,76,CM,gold,Ukraine,75,69,72,79,70,56,https://wefut.com/player/22/1605/vitaliy-buyalskyi
Lovro Majer,76,CAM,gold,Croatia,69,69,78,83,54,59,https://wefut.com/player/22/1603/lovro-majer
Lukáš Masopust,76,RM,gold,Czech Republic,88,67,69,77,64,76,https://wefut.com/player/22/1602/lukas-masopust
Riqui Puig,76,CM,gold,Spain,67,61,75,81,58,63,https://wefut.com/player/22/1601/riqui-puig
Alexis Saelemaekers,76,RW,gold,Belgium,81,66,74,78,62,68,https://wefut.com/player/22/1600/alexis-saelemaekers
Sebastiaan Bornauw,76,CB,gold,Belgium,72,45,60,65,78,76,https://wefut.com/player/22/1599/sebastiaan-bornauw
Benoît Badiashile,76,CB,gold,France,62,39,63,58,77,76,https://wefut.com/player/22/1598/benoit-badiashile
Matías Viña,76,LB,gold,Uruguay,82,61,75,72,72,72,https://wefut.com/player/22/1597/stephen-eustaquio
Musa Barrow,76,CAM,gold,Gambia,84,74,67,77,31,63,https://wefut.com/player/22/1596/musa-barrow
Loren,76,ST,gold,Spain,71,78,60,74,32,74,https://wefut.com/player/22/1595/loren
Sebastián Córdova,76,LM,gold,Mexico,83,73,71,79,51,69,https://wefut.com/player/22/1594/sebastian-cordova
Pape Gueye,76,CDM,gold,France,73,46,65,70,72,79,https://wefut.com/player/22/1593/pape-gueye
Colin Dagba,76,RB,gold,France,82,53,70,77,72,61,https://wefut.com/player/22/1592/colin-dagba
Lutsharel Geertruida,76,RB,gold,Netherlands,80,52,66,71,74,75,https://wefut.com/player/22/1591/lutsharel-geertruida
Miranda,76,LB,gold,Spain,78,57,68,74,71,66,https://wefut.com/player/22/1590/miranda
Mathías Olivera,76,LB,gold,Uruguay,76,50,65,70,74,77,https://wefut.com/player/22/1588/mathias-olivera
Ander Guevara,76,CM,gold,Spain,53,64,74,71,73,70,https://wefut.com/player/22/1587/ander-guevara
Emile Smith Rowe,76,CAM,gold,England,78,64,72,78,32,61,https://wefut.com/player/22/1586/emile-smith-rowe
Ozan Kabak,76,CB,gold,Turkey,69,36,56,69,74,79,https://wefut.com/player/22/1584/ozan-kabak
Bremer,76,CB,gold,Brazil,64,35,51,62,77,74,https://wefut.com/player/22/1583/bremer
Krépin Diatta,76,RM,gold,Senegal,93,69,66,78,47,69,https://wefut.com/player/22/1582/krepin-diatta
Nikola Milenković,76,CB,gold,Serbia,66,44,61,62,76,81,https://wefut.com/player/22/1581/nikola-milenkovic
Daniel Muñoz,76,RB,gold,Colombia,78,50,67,71,75,76,https://wefut.com/player/22/1579/daniel-munoz
Keidi Bare,76,CDM,gold,Albania,75,61,70,74,73,77,https://wefut.com/player/22/1578/keidi-bare
Roberto Alvarado,76,RM,gold,Mexico,76,71,75,77,53,70,https://wefut.com/player/22/1577/roberto-alvarado
Melendo,76,CAM,gold,Spain,78,66,75,78,48,60,https://wefut.com/player/22/1575/melendo
Arnaut Danjuma,76,LW,gold,Netherlands,83,73,70,78,42,67,https://wefut.com/player/22/1574/arnaut-danjuma
Pedro Aquino,76,CDM,gold,Peru,76,59,66,68,73,80,https://wefut.com/player/22/1573/pedro-aquino
Darko Brašanac,76,CM,gold,Serbia,55,70,73,73,72,73,https://wefut.com/player/22/1572/darko-brasanac
Brais Méndez,76,RM,gold,Spain,71,74,76,74,50,63,https://wefut.com/player/22/1571/brais-mendez
Pol Lirola,76,RWB,gold,Spain,77,57,70,75,71,70,https://wefut.com/player/22/1570/pol-lirola
Marcus Edwards,76,RW,gold,England,85,66,68,84,33,46,https://wefut.com/player/22/1569/marcus-edwards
Stephen Eustáquio,76,CDM,gold,Canada,66,49,65,72,76,74,https://wefut.com/player/22/1568/diadie-samassekou
Jerdy Schouten,76,CDM,gold,Netherlands,64,55,67,74,74,70,https://wefut.com/player/22/1566/jerdy-schouten
Toni Martínez,76,ST,gold,Spain,72,77,58,72,24,75,https://wefut.com/player/22/1564/toni-martinez
Josip Brekalo,76,LM,gold,Croatia,76,73,71,82,35,52,https://wefut.com/player/22/1563/josip-brekalo
Diogo Dalot,76,RB,gold,Portugal,79,60,70,77,72,75,https://wefut.com/player/22/1562/diogo-dalot
Emanuel Reynoso,76,CAM,gold,Argentina,66,65,78,79,57,67,https://wefut.com/player/22/1561/emanuel-reynoso
Roland Sallai,76,RM,gold,Hungary,72,70,70,79,37,61,https://wefut.com/player/22/1560/roland-sallai
Orel Mangala,76,CM,gold,Belgium,70,53,71,83,71,71,https://wefut.com/player/22/1559/orel-mangala
Jens Petter Hauge,76,LM,gold,Norway,88,68,67,78,42,66,https://wefut.com/player/22/1557/jens-petter-hauge
Amath Ndiaye,76,LM,gold,Senegal,92,71,67,79,46,67,https://wefut.com/player/22/1556/amath-ndiaye
Riccardo Orsolini,76,CAM,gold,Italy,80,70,74,81,39,65,https://wefut.com/player/22/1555/riccardo-orsolini
Ritsu Doan,76,RM,gold,Japan,79,70,72,80,39,57,https://wefut.com/player/22/1553/ritsu-doan
Isi,76,RM,gold,Spain,86,74,73,77,39,65,https://wefut.com/player/22/1552/isi
Wesley,76,ST,gold,Brazil,66,76,67,70,38,82,https://wefut.com/player/22/1551/wesley
Ben White,76,CB,gold,England,69,27,61,67,77,76,https://wefut.com/player/22/1550/ben-white
Dodi Lukébakio,76,RM,gold,Belgium,84,75,69,79,31,60,https://wefut.com/player/22/1549/dodi-lukebakio
Diogo Gonçalves,76,RM,gold,Portugal,85,72,70,79,68,72,https://wefut.com/player/22/1548/diogo-goncalves
Philipp Lienhart,76,CB,gold,Austria,64,28,54,59,78,73,https://wefut.com/player/22/1547/philipp-lienhart
Amadou Diawara,76,CDM,gold,Guinea,62,54,71,76,72,71,https://wefut.com/player/22/1545/amadou-diawara
Suat Serdar,76,CM,gold,Germany,69,69,71,77,74,79,https://wefut.com/player/22/1544/suat-serdar
Pierre Lees-Melou,76,CM,gold,France,67,72,77,76,67,74,https://wefut.com/player/22/1543/pierre-lees-melou
Edu Expósito,76,CDM,gold,Spain,53,70,71,74,71,61,https://wefut.com/player/22/1542/edu-exposito
Toni Villa,76,LM,gold,Spain,77,64,74,80,52,51,https://wefut.com/player/22/1541/toni-villa
Jean Meneses,76,LM,gold,Chile,85,68,69,76,35,69,https://wefut.com/player/22/1540/jean-meneses
Matías Vargas,76,LM,gold,Argentina,83,69,72,78,40,71,https://wefut.com/player/22/1539/matias-vargas
Diadié Samassékou,76,CDM,gold,Mali,66,76,70,80,35,69,https://wefut.com/player/22/1537/oussama-idrissi
Lucas Martínez Quarta,76,CB,gold,Argentina,67,56,69,70,75,78,https://wefut.com/player/22/1536/lucas-martinez-quarta
Borja Mayoral,76,ST,gold,Spain,68,76,69,77,38,68,https://wefut.com/player/22/1535/borja-mayoral
Benjamin Henrichs,76,RB,gold,Germany,74,53,71,75,73,69,https://wefut.com/player/22/1534/benjamin-henrichs
Pape Abou Cissé,76,CB,gold,Senegal,79,32,46,45,74,86,https://wefut.com/player/22/1533/pape-abou-cisse
Sander Berge,76,CDM,gold,Norway,64,58,72,73,74,84,https://wefut.com/player/22/1532/sander-berge
Gastón Giménez,76,CDM,gold,Paraguay,64,61,73,75,69,84,https://wefut.com/player/22/1531/gaston-gimenez
Lucas Tousart,76,CDM,gold,France,59,54,65,65,77,82,https://wefut.com/player/22/1529/lucas-tousart
Frédéric Guilbert,76,RB,gold,France,74,48,67,68,74,78,https://wefut.com/player/22/1528/frederic-guilbert
Vitor Hugo,76,CB,gold,Brazil,63,31,38,46,79,78,https://wefut.com/player/22/1526/vitor-hugo
Federico Dimarco,76,LWB,gold,Italy,75,61,75,74,70,62,https://wefut.com/player/22/1524/federico-dimarco
Thilo Kehrer,76,CB,gold,Germany,68,44,65,66,77,78,https://wefut.com/player/22/1523/thilo-kehrer
Ché Adams,76,ST,gold,Scotland,84,77,62,74,40,77,https://wefut.com/player/22/1522/che-adams
Denis Bouanga,76,LM,gold,Gabon,80,75,70,78,38,69,https://wefut.com/player/22/1521/denis-bouanga
Olivier Boscagli,76,CB,gold,France,74,33,73,74,77,74,https://wefut.com/player/22/1520/olivier-boscagli
Stephy Mavididi,76,LM,gold,England,89,72,67,75,27,67,https://wefut.com/player/22/1518/stephy-mavididi
İrfan Can Kahveci,76,CM,gold,Turkey,77,68,76,77,65,72,https://wefut.com/player/22/1517/irfan-can-kahveci
Bustinza,76,CB,gold,Spain,60,35,63,63,77,78,https://wefut.com/player/22/1516/bustinza
Peter Olayinka,76,LM,gold,Nigeria,84,69,70,76,57,78,https://wefut.com/player/22/1515/peter-olayinka
Ryan Kent,76,CF,gold,England,91,72,70,79,30,62,https://wefut.com/player/22/1513/ryan-kent
Yeimar Gómez Andrade,76,CB,gold,Colombia,60,33,47,58,75,86,https://wefut.com/player/22/1512/yeimar-gomez-andrade
Henry Martín,76,ST,gold,Mexico,79,74,65,75,38,81,https://wefut.com/player/22/1510/henry-martin
Omar Al Somah,76,ST,gold,Syria,68,79,69,72,39,80,https://wefut.com/player/22/1508/omar-al-somah
Andrea Conti,76,RB,gold,Italy,75,58,69,74,73,64,https://wefut.com/player/22/1507/andrea-conti
Ozan Tufan,76,CM,gold,Turkey,75,73,73,76,73,82,https://wefut.com/player/22/1506/ozan-tufan
Oussama Idrissi,76,ST,gold,Poland,75,77,53,72,36,71,https://wefut.com/player/22/1505/krzysztof-piatek
Otávio,76,CDM,gold,Brazil,61,55,67,72,75,76,https://wefut.com/player/22/1504/otavio
Rochinha,76,LW,gold,Portugal,83,66,68,82,40,52,https://wefut.com/player/22/1503/rochinha
Mathias Normann,76,CDM,gold,Norway,72,64,72,75,71,79,https://wefut.com/player/22/1502/mathias-normann
Anton Miranchuk,76,LM,gold,Russia,76,73,74,77,28,62,https://wefut.com/player/22/1501/anton-miranchuk
Adam Armstrong,76,ST,gold,England,90,77,66,76,35,71,https://wefut.com/player/22/1500/adam-armstrong
Alfredo Morelos,76,ST,gold,Colombia,78,75,66,74,43,84,https://wefut.com/player/22/1499/alfredo-morelos
Mickaël Malsa,76,CM,gold,France,73,63,71,76,75,77,https://wefut.com/player/22/1498/mickael-malsa
Andrija Živković,76,RW,gold,Serbia,78,73,74,81,56,57,https://wefut.com/player/22/1497/andrija-zivkovic
Josh Brownhill,76,CM,gold,England,69,67,72,74,74,76,https://wefut.com/player/22/1496/josh-brownhill
Jan Bednarek,76,CB,gold,Poland,52,22,53,55,78,77,https://wefut.com/player/22/1495/jan-bednarek
Mattia Caldara,76,CB,gold,Italy,58,34,46,63,79,71,https://wefut.com/player/22/1494/mattia-caldara
David Brooks,76,RW,gold,Wales,73,71,75,79,48,64,https://wefut.com/player/22/1493/david-brooks
Islam Slimani,76,ST,gold,Algeria,47,76,73,69,47,80,https://wefut.com/player/22/1491/islam-slimani
Alexander Sørloth,76,ST,gold,Norway,80,74,66,70,36,83,https://wefut.com/player/22/1489/alexander-sorloth
Anwar El Ghazi,76,LM,gold,Netherlands,73,78,70,76,35,69,https://wefut.com/player/22/1488/anwar-el-ghazi
Arijan Ademi,76,CDM,gold,FYR Macedonia,66,64,65,71,75,83,https://wefut.com/player/22/1487/arijan-ademi
Andrea Petagna,76,ST,gold,Italy,61,75,68,76,34,81,https://wefut.com/player/22/1484/andrea-petagna
Bruno Petković,76,ST,gold,Croatia,75,72,75,80,39,77,https://wefut.com/player/22/1483/bruno-petkovic
Lucas Zelarayán,76,CAM,gold,Argentina,71,71,76,78,45,66,https://wefut.com/player/22/1481/lucas-zelarayan
Julio Furch,76,ST,gold,Argentina,53,77,61,69,39,78,https://wefut.com/player/22/1478/julio-furch
Luis Quiñones,76,RM,gold,Colombia,92,68,69,78,35,64,https://wefut.com/player/22/1474/luis-quinones
Flavien Tait,76,LM,gold,France,73,69,73,77,35,64,https://wefut.com/player/22/1473/flavien-tait
Divock Origi,76,ST,gold,Belgium,79,75,67,75,27,74,https://wefut.com/player/22/1472/divock-origi
Rony Lopes,76,RW,gold,Portugal,77,72,75,78,30,59,https://wefut.com/player/22/1470/rony-lopes
Krzysztof Piątek,76,ST,gold,Poland,75,77,53,74,72,71,https://wefut.com/player/22/1469/ludwig-augustinsson
Jack O'Connell,76,CB,gold,England,61,37,64,62,76,80,https://wefut.com/player/22/1468/jack-o-connell
Riechedly Bazoer,76,CB,gold,Netherlands,72,68,77,78,74,75,https://wefut.com/player/22/1467/riechedly-bazoer
Hwang Ui Jo,76,ST,gold,Korea Republic,78,77,64,74,42,73,https://wefut.com/player/22/1466/hwang-ui-jo
Alexander Scholz,76,CB,gold,Denmark,72,55,65,68,76,79,https://wefut.com/player/22/1465/alexander-scholz
Robert Andrich,76,CM,gold,Germany,59,73,76,71,73,82,https://wefut.com/player/22/1464/robert-andrich
Jamie Maclaren,76,ST,gold,Australia,81,75,64,73,38,76,https://wefut.com/player/22/1463/jamie-maclaren
Ivan Toney,76,ST,gold,England,80,75,58,72,46,80,https://wefut.com/player/22/1462/ivan-toney
Alexander Djiku,76,CB,gold,Ghana,71,42,66,69,75,81,https://wefut.com/player/22/1461/alexander-djiku
Brandon Mechele,76,CB,gold,Belgium,62,38,50,54,80,76,https://wefut.com/player/22/1460/brandon-mechele
Darko Lazović,76,LM,gold,Serbia,85,68,72,77,61,56,https://wefut.com/player/22/1459/darko-lazovic
Fei Nanduo,76,RM,gold,China PR,85,71,74,75,39,68,https://wefut.com/player/22/1457/fei-nanduo
Morgan Sanson,76,CM,gold,France,72,73,76,76,70,77,https://wefut.com/player/22/1456/morgan-sanson
Paulo Oliveira,76,CB,gold,Portugal,61,35,51,61,77,76,https://wefut.com/player/22/1454/paulo-oliveira
Farid Boulaya,76,CAM,gold,Algeria,72,69,75,80,26,54,https://wefut.com/player/22/1452/farid-boulaya
Fabian Schär,76,CB,gold,Switzerland,58,67,70,68,77,75,https://wefut.com/player/22/1450/fabian-schar
Dória,76,CB,gold,Brazil,54,59,59,59,75,85,https://wefut.com/player/22/1448/doria
David Moberg Karlsson,76,RM,gold,Sweden,87,71,71,77,30,61,https://wefut.com/player/22/1447/david-moberg-karlsson
Adrien Thomasson,76,CAM,gold,France,68,70,76,77,65,69,https://wefut.com/player/22/1446/adrien-thomasson
Óscar Plano,76,RM,gold,Spain,86,70,72,74,54,73,https://wefut.com/player/22/1445/oscar-plano
Thomas Foket,76,RB,gold,Belgium,75,57,69,72,73,77,https://wefut.com/player/22/1444/thomas-foket
Munas Dabbur,76,ST,gold,Israel,70,75,66,76,32,68,https://wefut.com/player/22/1443/munas-dabbur
Petros Mantalos,76,CAM,gold,Greece,73,70,75,78,54,61,https://wefut.com/player/22/1441/petros-mantalos
Gabriel,76,CM,gold,Brazil,59,72,74,77,75,80,https://wefut.com/player/22/1440/gabriel
Dimitrios Pelkas,76,LM,gold,Greece,82,71,75,77,37,52,https://wefut.com/player/22/1439/dimitrios-pelkas
Ludwig Augustinsson,76,LB,gold,Sweden,67,60,75,79,25,63,https://wefut.com/player/22/1436/nicolas-lopez
Pablo Marí,76,CB,gold,Spain,53,40,51,51,76,80,https://wefut.com/player/22/1434/pablo-mari
Will Hughes,76,CM,gold,England,63,64,77,77,68,64,https://wefut.com/player/22/1433/will-hughes
Jordan Ferri,76,CDM,gold,France,59,65,74,73,69,75,https://wefut.com/player/22/1432/jordan-ferri
Luka Milivojević,76,CDM,gold,Serbia,50,67,75,68,75,77,https://wefut.com/player/22/1431/luka-milivojevic
Denis Cheryshev,76,LM,gold,Russia,76,75,74,74,55,67,https://wefut.com/player/22/1430/denis-cheryshev
Isaac Hayden,76,CDM,gold,England,58,60,63,70,75,78,https://wefut.com/player/22/1429/isaac-hayden
Mattia De Sciglio,76,RB,gold,Italy,68,46,70,74,75,69,https://wefut.com/player/22/1428/mattia-de-sciglio
Alberto Moreno,76,LB,gold,Spain,82,66,68,77,69,69,https://wefut.com/player/22/1426/alberto-moreno
Niclas Füllkrug,76,ST,gold,Germany,63,78,62,70,36,73,https://wefut.com/player/22/1425/niclas-fullkrug
Daniele Baselli,76,CM,gold,Italy,68,72,78,80,66,61,https://wefut.com/player/22/1424/daniele-baselli
Soualiho Meïté,76,CM,gold,France,66,59,73,77,71,79,https://wefut.com/player/22/1423/soualiho-meite
Okay Yokuşlu,76,CDM,gold,Turkey,66,70,71,72,74,83,https://wefut.com/player/22/1421/okay-yokuslu
Fayçal Fajr,76,CM,gold,Morocco,60,73,78,76,67,69,https://wefut.com/player/22/1420/faycal-fajr
Charlie Taylor,76,LB,gold,England,69,54,70,72,75,77,https://wefut.com/player/22/1419/charlie-taylor
Mauricio Pereyra,76,CAM,gold,Uruguay,71,70,76,77,54,66,https://wefut.com/player/22/1418/mauricio-pereyra
Michy Batshuayi,76,ST,gold,Belgium,73,77,59,76,33,69,https://wefut.com/player/22/1417/michy-batshuayi
Roque Mesa,76,CM,gold,Spain,66,67,76,75,68,79,https://wefut.com/player/22/1415/roque-mesa
Kenny Lala,76,RB,gold,France,78,62,74,72,72,74,https://wefut.com/player/22/1414/kenny-lala
M'Baye Niang,76,ST,gold,Senegal,77,78,67,74,31,72,https://wefut.com/player/22/1413/m-baye-niang
Thomas Delaine,76,LWB,gold,France,85,51,72,74,67,75,https://wefut.com/player/22/1412/thomas-delaine
Robin Knoche,76,CB,gold,Germany,39,41,52,50,79,72,https://wefut.com/player/22/1411/robin-knoche
Simone Zaza,76,ST,gold,Italy,78,76,61,75,49,80,https://wefut.com/player/22/1410/simone-zaza
Danny da Costa,76,RWB,gold,Germany,73,56,66,70,75,82,https://wefut.com/player/22/1408/danny-da-costa
Jeffrey Gouweleeuw,76,CB,gold,Netherlands,71,58,65,64,79,75,https://wefut.com/player/22/1407/jeffrey-gouweleeuw
Salif Sané,76,CB,gold,Senegal,54,49,64,63,76,79,https://wefut.com/player/22/1404/salif-sane
Layvin Kurzawa,76,LB,gold,France,74,65,72,76,73,72,https://wefut.com/player/22/1402/layvin-kurzawa
Cristiano Biraghi,76,LWB,gold,Italy,75,65,74,73,72,69,https://wefut.com/player/22/1401/cristiano-biraghi
Vladimír Darida,76,CM,gold,Czech Republic,66,70,74,78,70,63,https://wefut.com/player/22/1400/vladimir-darida
Milan Badelj,76,CDM,gold,Croatia,50,63,74,72,73,72,https://wefut.com/player/22/1399/milan-badelj
Cédric,76,RB,gold,Portugal,76,63,70,75,72,66,https://wefut.com/player/22/1398/cedric
Pedro Mendes,76,CB,gold,Portugal,65,38,51,61,77,81,https://wefut.com/player/22/1397/pedro-mendes
Gernot Trauner,76,CB,gold,Austria,64,57,62,62,75,87,https://wefut.com/player/22/1395/gernot-trauner
Marco van Ginkel,76,CM,gold,Netherlands,60,76,76,74,70,74,https://wefut.com/player/22/1394/marco-van-ginkel
Erik Sviatchenko,76,CB,gold,Denmark,59,51,61,61,76,82,https://wefut.com/player/22/1393/erik-sviatchenko
Matthew Lowton,76,RB,gold,England,66,61,73,72,76,74,https://wefut.com/player/22/1392/matthew-lowton
Sergi Gómez,76,CB,gold,Spain,58,40,64,61,78,73,https://wefut.com/player/22/1391/sergi-gomez
Nolito,76,LM,gold,Spain,64,76,77,77,45,62,https://wefut.com/player/22/1389/nolito
Nicolas Pallois,76,CB,gold,France,41,53,60,59,76,85,https://wefut.com/player/22/1388/nicolas-pallois
Nathan Redmond,76,LM,gold,England,81,72,70,81,30,53,https://wefut.com/player/22/1387/nathan-redmond
Óscar Murillo,76,CB,gold,Colombia,67,39,56,52,77,80,https://wefut.com/player/22/1386/oscar-murillo
Tomás Pina,76,CM,gold,Spain,42,66,72,73,73,72,https://wefut.com/player/22/1385/tomas-pina
Jens Toornstra,76,CM,gold,Netherlands,53,76,76,74,68,75,https://wefut.com/player/22/1384/jens-toornstra
Wahbi Khazri,76,ST,gold,Tunisia,69,79,76,77,42,67,https://wefut.com/player/22/1382/wahbi-khazri
Andriy Yarmolenko,76,RM,gold,Ukraine,61,79,77,78,42,67,https://wefut.com/player/22/1381/andriy-yarmolenko
Filip Đuričić,76,CAM,gold,Serbia,73,69,75,78,42,60,https://wefut.com/player/22/1380/filip-duricic
Xavier Chavalerin,76,CDM,gold,France,60,64,74,71,70,76,https://wefut.com/player/22/1379/xavier-chavalerin
Ricardo Rodríguez,76,LB,gold,Switzerland,71,67,74,74,75,74,https://wefut.com/player/22/1378/ricardo-rodriguez
Maxime Gonalons,76,CDM,gold,France,47,61,72,68,75,72,https://wefut.com/player/22/1376/maxime-gonalons
Néstor Araújo,76,CB,gold,Mexico,66,41,55,59,78,78,https://wefut.com/player/22/1373/nestor-araujo
Mats Rits,76,CDM,gold,Belgium,67,65,72,73,72,75,https://wefut.com/player/22/1372/mats-rits
Pascal Groß,76,CM,gold,Germany,50,74,80,75,58,71,https://wefut.com/player/22/1371/pascal-gross
Teemu Pukki,76,ST,gold,Finland,76,76,60,75,34,68,https://wefut.com/player/22/1369/teemu-pukki
Kevin Strootman,76,CM,gold,Netherlands,50,75,74,74,75,77,https://wefut.com/player/22/1367/kevin-strootman
Sebastian Rudy,76,CM,gold,Germany,66,65,77,76,73,66,https://wefut.com/player/22/1365/sebastian-rudy
Daniel Carriço,76,CB,gold,Portugal,39,53,67,62,77,74,https://wefut.com/player/22/1364/daniel-carrico
Gustavo Bou,76,ST,gold,Argentina,76,79,69,76,30,72,https://wefut.com/player/22/1363/gustavo-bou
Alan Dzagoev,76,CM,gold,Russia,72,71,74,76,70,67,https://wefut.com/player/22/1362/alan-dzagoev
Fedor Smolov,76,ST,gold,Russia,81,76,71,74,32,72,https://wefut.com/player/22/1361/fedor-smolov
Mario Balotelli,76,ST,gold,Italy,73,79,72,76,25,77,https://wefut.com/player/22/1360/mario-balotelli
Cristhian Stuani,76,ST,gold,Uruguay,68,79,69,70,48,82,https://wefut.com/player/22/1359/cristhian-stuani
Fabio Borini,76,LW,gold,Italy,73,74,72,77,45,69,https://wefut.com/player/22/1358/fabio-borini
Patrick van Aanholt,76,LB,gold,Netherlands,84,68,72,75,72,68,https://wefut.com/player/22/1357/patrick-van-aanholt
Luke Ayling,76,RB,gold,England,66,54,64,72,76,75,https://wefut.com/player/22/1356/luke-ayling
Sofiane Feghouli,76,RM,gold,Algeria,71,71,75,79,34,65,https://wefut.com/player/22/1354/sofiane-feghouli
Adrien Silva,76,CM,gold,Portugal,53,73,77,76,69,67,https://wefut.com/player/22/1353/adrien-silva
Romain Thomas,76,CB,gold,France,35,33,54,48,78,73,https://wefut.com/player/22/1352/romain-thomas
Eric Maxim Choupo-Moting,76,ST,gold,Cameroon,71,73,68,78,38,73,https://wefut.com/player/22/1351/eric-maxim-choupo-moting
Marc Albrighton,76,RM,gold,England,70,68,76,76,61,66,https://wefut.com/player/22/1350/marc-albrighton
Albin Ekdal,76,CM,gold,Sweden,47,65,76,73,70,76,https://wefut.com/player/22/1349/albin-ekdal
Zlatko Junuzović,76,CM,gold,Austria,70,73,79,81,67,69,https://wefut.com/player/22/1345/zlatko-junuzovic
Domenico Criscito,76,CB,gold,Italy,73,61,75,72,78,71,https://wefut.com/player/22/1344/domenico-criscito
Gervinho,76,LW,gold,Ivory Coast,91,68,68,77,35,57,https://wefut.com/player/22/1342/gervinho
Jack Cork,76,CDM,gold,England,44,60,71,69,75,77,https://wefut.com/player/22/1339/jack-cork
Ryan Bertrand,76,LB,gold,England,74,53,72,75,73,71,https://wefut.com/player/22/1338/ryan-bertrand
Zeca,76,CDM,gold,Greece,75,61,69,71,73,77,https://wefut.com/player/22/1337/zeca
Theo Walcott,76,RM,gold,England,85,70,69,78,39,59,https://wefut.com/player/22/1335/theo-walcott
Alessandro Diamanti,76,CAM,gold,Italy,58,72,78,79,33,64,https://wefut.com/player/22/1334/alessandro-diamanti
Cesc Fàbregas,76,CM,gold,Spain,40,67,81,75,62,55,https://wefut.com/player/22/1332/cesc-fabregas
Dante,76,CB,gold,Brazil,32,51,67,64,78,76,https://wefut.com/player/22/1331/dante
Ryan Babel,76,LM,gold,Netherlands,78,79,71,78,39,75,https://wefut.com/player/22/1330/ryan-babel
Rubens Sambueza,76,RM,gold,Argentina,66,72,79,78,47,71,https://wefut.com/player/22/1329/rubens-sambueza
Gaël Clichy,76,LB,gold,France,75,43,69,74,73,67,https://wefut.com/player/22/1328/gael-clichy
Steven Davis,76,CM,gold,Northern Ireland,39,63,76,76,74,68,https://wefut.com/player/22/1327/steven-davis
José Sosa,76,CM,gold,Argentina,63,69,82,77,64,63,https://wefut.com/player/22/1324/jose-sosa
Atiba Hutchinson,76,CDM,gold,Canada,61,64,73,71,75,74,https://wefut.com/player/22/1323/atiba-hutchinson
Emanuel Mammana,75,CB,swap2,Argentina,78,42,65,70,75,71,https://wefut.com/player/22/21413/emanuel-mammana
Walter Bou,75,ST,swap2,Argentina,75,75,68,76,46,74,https://wefut.com/player/22/18388/walter-bou
Julián Álvarez,75,RW,swap2,Argentina,84,74,72,75,46,62,https://wefut.com/player/22/2060/julian-alvarez
Jorman Campuzano,75,CDM,swap2,Colombia,75,40,62,65,73,75,https://wefut.com/player/22/2041/jorman-campuzano
